date,close
1990,310000
1991,390000
1992,480000
1993,590000
1994,710000
1995,840000
1996,950000
1997,1100000
1998,1200000
1999,1400000
2000,1500000
2001,1700000
2002,1800000
2003,1900000
2004,2000000
